Type,Setting,Wall clock time,System time,User time,CPU,Wall clock time,System time,User time,CPU,Original size,Uncompressed size,Compressed size,Percentage of original size
zip-deflate,6,2987.59,22.64,2956.87,99%,349.11,23.24,302.43,93%,27986114560,27986114560,16591029947
zip-deflate,7,3338.73,23.15,3307.14,99%,343.61,21.59,301.07,93%,27986114560,27986114560,16565917551
zip-deflate,8,3626.66,20.06,3599.19,99%,341.15,21.18,298.37,93%,27986114560,27986114560,16562985071
zip-deflate,9,3791.63,21.94,3761.79,99%,340.25,21.71,297.65,93%,27986114560,27986114560,16562251121
tamp,1,68.27,48.67,336.64,564%,71.65,51.13,308.66,502%,27986114560,27986114560,21936883041
lzop,1,375.15,22.24,336.39,95%,173.59,23.26,120.85,83%,27986114560,27986114560,22309509387
lzop,2,357.43,21.20,316.34,94%,165.94,23.09,113.08,82%,27986114560,27986114560,22171791646
lzop,3,360.64,23.30,320.38,95%,164.82,23.10,117.06,85%,27986114560,27986114560,22171791646
lzop,4,380.83,21.44,344.28,96%,157.83,23.14,110.70,84%,27986114560,27986114560,22171791646
lzop,5,361.71,22.18,320.75,94%,162.46,22.60,113.01,83%,27986114560,27986114560,22171791646
lzop,6,358.25,22.57,316.91,94%,162.76,21.84,113.37,83%,27986114560,27986114560,22171791646
lzop,7,10493.22,21.53,10450.67,99%,167.26,21.14,121.16,85%,27986114560,27986114560,18605509482
lzop,8,8945.86,24.35,8903.05,99%,161.98,21.83,114.71,84%,27986114560,27986114560,18591561678
lzop,9,7851.32,18.93,7816.84,99%,161.28,21.61,114.55,84%,27986114560,27986114560,18591611382
