Type,Setting,Wall clock time,System time,User time,CPU,Wall clock time,System time,User time,CPU,Original size,Uncompressed size,Compressed size,Percentage of original size
zip-deflate,9,514.85,0.66,513.19,99%,10.78,0.77,9.99,99%,1382185155,1382185155,343075068
tamp,1,1.24,1.26,8.9,815%,3.04,2.11,8.68,354%,1382185155,1382185155,640657770
lzop,1,7.41,0.73,6.67,99%,5.42,0.96,4.45,99%,1382185155,1382185155,584286704
lzop,2,6.99,0.54,6.44,99%,5.44,1,4.43,99%,1382185155,1382185155,584554496
lzop,3,7.18,0.63,6.54,99%,5.34,0.88,4.45,99%,1382185155,1382185155,584554496
lzop,4,7.32,0.69,6.62,99%,5.46,0.8,4.64,99%,1382185155,1382185155,584554496
lzop,5,6.99,0.61,6.37,99%,5.55,1.05,4.49,99%,1382185155,1382185155,584554496
lzop,6,7.05,0.62,6.41,99%,5.29,0.97,4.31,99%,1382185155,1382185155,584554496
lzop,7,407.5,0.58,406.1,99%,4.87,0.92,3.9,98%,1382185155,1382185155,446427173
lzop,8,866.12,0.56,863.88,99%,4.89,0.78,4.1,99%,1382185155,1382185155,433429451
lzop,9,858.5,0.51,856.32,99%,5.23,1.01,4.21,99%,1382185155,1382185155,433429440
